NbPersonnes;Annees
2;1921
7;1922
0;1923
4;1924
0;1925
0;1926
0;1927
0;1928
0;1929
0;1930
0;1931
0;1932
0;1933
1;1934
0;1935
0;1936
0;1937
0;1938
0;1939
0;1940
0;1941
0;1942
0;1943
0;1944
0;1945
0;1946
0;1947
0;1948
0;1949
0;1950
0;1951
1;1952
0;1953
0;1954
0;1955
0;1956
0;1957
0;1958
0;1959
2;1960
0;1961
1;1962
1;1963
0;1964
0;1965
1;1966
0;1967
0;1968
1;1969
7;1970
1;1971
1;1972
1;1973
5;1974
3;1975
1;1976
0;1977
2;1978
5;1979
3;1980
1;1981
11;1982
3;1983
8;1984
7;1985
4;1986
4;1987
10;1988
8;1989
4;1990
3;1991
5;1992
8;1993
5;1994
3;1995
15;1996
9;1997
5;1998
4;1999
2;2000
5;2001
3;2002
4;2003
7;2004
6;2005
11;2006
7;2007
1;2008
4;2009
3;2010
6;2011
11;2012
9;2013
16;2014
18;2015
7;2016
5;2017
5;2018
11;2019
0;2020
4;2021
3;2022
17;2023
